"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Age","MotherLanguage","Institution","Institution[other]","AreaStudy","AreaStudy[other]","Level","WhatisOA[SQ001]","WhatisOA[SQ002]","WhatisOA[SQ003]","WhatisOA[SQ004]","WhatisOA[SQ005]","HeardAboutIt","HeardAboutIt[comment]","Importance","Legal","Paywall","SciHub","Unpaywall","Final","interviewtime","groupTime1","AgeTime","MotherLanguageTime","InstitutionTime","AreaStudyTime","LevelTime","WhatisOATime","groupTime2","HeardAboutItTime","ImportanceTime","LegalTime","PaywallTime","SciHubTime","UnpaywallTime","FinalTime"
"88","2019-05-22 22:40:17","2","en","1203517793","2019-05-22 22:33:17","2019-05-22 22:40:17","40 - 44","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Never heard of it","Often","Open Access","420.59","296.92","","","","","","","123.67","","","","","","",""
"89","","1","en","1357332730","2019-05-22 22:39:42","2019-05-22 22:40:53","60 - 64","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","Yes","No","","","","","","","","","72.9","72.9","","","","","","","","","","","","","",""
"90","2019-05-23 02:57:09","2","en","755008442","2019-05-23 02:56:12","2019-05-23 02:57:09","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","","","","","","","","","56.47","52.21","","","","","","","4.26","","","","","","",""
"91","2019-05-23 08:59:49","2","en","884806575","2019-05-23 08:57:53","2019-05-23 08:59:49","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","No","","Very","","Yes","Never heard of it","Never heard of it","Doesn't know","117.69","37.84","","","","","","","79.85","","","","","","",""
"92","2019-05-23 15:20:00","2","en","30254159","2019-05-23 15:18:06","2019-05-23 15:20:00","30 - 34","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Not In Academica right now","Yes","No","No","No","No","Yes","","Extremely","Legal","No","Never heard of it","Always","Open Access","114.57","42.22","","","","","","","72.35","","","","","","",""
"93","2019-05-23 15:59:27","2","en","1368916188","2019-05-23 15:55:23","2019-05-23 15:59:27","18 - 24","Spanish","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Never heard of it","Always","Doesn't know","244.17","54.91","","","","","","","189.26","","","","","","",""
"94","2019-05-23 22:55:08","2","en","472444710","2019-05-23 22:50:52","2019-05-23 22:55:08","45 - 49","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","No","","Extremely","Legal","Yes","Never heard of it","Very often","Open Access","256.76","79.09","","","","","","","177.67","","","","","","",""
"95","2019-05-24 01:21:27","2","en","535976186","2019-05-24 01:20:14","2019-05-24 01:21:27","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Master","Yes","Yes","Yes","Yes","No","Yes","","Extremely","Legal","Yes","Very often","Never heard of it","Open Access","73.96","36.27","","","","","","","37.69","","","","","","",""
"96","","","en","1672374863","2019-05-24 09:45:58","2019-05-24 09:45:58","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"97","2019-05-24 18:52:16","2","en","614701868","2019-05-24 18:50:12","2019-05-24 18:52:16","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Extremely","","Yes","","Often","Open Access","125.51","51.91","","","","","","","73.6","","","","","","",""
"98","2019-05-24 21:55:21","2","en","301086317","2019-05-24 21:51:06","2019-05-24 21:55:21","18 - 24","","","","Humanities, Arts and Social Sciences","","Master","No","No","Yes","Yes","No","No","I have only heard about Open Access in reference to software or databases.","Extremely","Legal","Yes","Never heard of it","Never heard of it","Doesn't know","256.37","66.67","","","","","","","189.7","","","","","","",""
"99","2019-05-25 09:55:35","2","en","1133923486","2019-05-25 09:53:47","2019-05-25 09:55:35","45 - 49","English","","","Humanities, Arts and Social Sciences","","PhD","Yes","Yes","Yes","Yes","No","Yes","","Very","Legal","Yes","Often","Very often","Open Access","109.25","50.31","","","","","","","58.94","","","","","","",""
"100","","1","en","297349355","2019-05-25 15:43:55","2019-05-25 15:44:37","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","","","","","","","","","42.39","42.39","","","","","","","","","","","","","",""
"101","","1","en","1193283139","2019-05-25 17:11:46","2019-05-25 17:12:25","40 - 44","Portuguese","","","Humanities, Arts and Social Sciences","","PhD","No","No","No","Yes","No","","","","","","","","","39.35","39.35","","","","","","","","","","","","","",""
"102","","","en","1918312665","2019-05-25 22:33:47","2019-05-25 22:33:47","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"103","2019-05-31 11:16:16","2","en","1388872668","2019-05-31 11:13:26","2019-05-31 11:16:15","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","No","No","Yes","","Extremely","Legal","Yes","Never heard of it","Never heard of it","All Rights Reserved","170.97","60.29","","","","","","","110.68","","","","","","",""
"104","2019-06-01 16:10:53","2","en","919067276","2019-06-01 16:06:53","2019-06-01 16:10:53","30 - 34","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Master","Yes","No","No","No","No","Yes","","Very","Legal","Yes","Very often","Often","Open Access","240.32","61.17","","","","","","","179.15","","","","","","",""
"105","2019-06-03 19:23:57","2","en","1983848813","2019-06-03 19:16:17","2019-06-03 19:23:57","25 - 29","Spanish","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","Yes","No","Yes","I heard about it and I know it's part of the ""fight"" for the democratization of knowledge, that usually takes place at the academic level. ","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","461.28","105.91","","","","","","","355.37","","","","","","",""
"106","2019-06-04 12:01:35","2","en","1466373242","2019-06-04 12:00:23","2019-06-04 12:01:35","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","No","Yes","No","","Extremely","","Yes","Rarely","Never heard of it","Open Access","72.39","24.03","","","","","","","48.36","","","","","","",""

